SlimeVolleyNEAT: 2026-04-16 03:12:37,925 [INFO] EvoJAX SlimeVolley NEAT
SlimeVolleyNEAT: 2026-04-16 03:12:37,926 [INFO] ==============================
SlimeVolleyNEAT: 2026-04-16 03:12:37,927 [INFO] NEAT: pop_size=16, n_inputs=12, n_outputs=3, max_hidden=16, max_connections=160, param_size=687
SlimeVolleyNEAT: 2026-04-16 03:12:37,927 [INFO] use_for_loop=False
SlimeVolleyNEAT: 2026-04-16 03:12:38,246 [INFO] Start to train for 10 iterations.
SlimeVolleyNEAT: 2026-04-16 03:52:49,413 [INFO] Iter=500, size=128, max=0.0000, avg=-19.8857, min=-34.8750, std=12.7477
SlimeVolleyNEAT: 2026-04-16 03:52:49,682 [INFO] [TEST] Iter=500, #tests=100, max=4.0000, avg=-0.0200, min=-4.0000, std=1.6612
SlimeVolleyNEAT: 2026-04-16 03:53:21,014 [INFO] Iter=510, size=128, max=0.0000, avg=-18.0000, min=-36.0000, std=12.8752
SlimeVolleyNEAT: 2026-04-16 03:53:52,411 [INFO] Iter=520, size=128, max=0.0625, avg=-19.7339, min=-37.7500, std=12.8299
SlimeVolleyNEAT: 2026-04-16 03:54:23,665 [INFO] Iter=530, size=128, max=-0.1250, avg=-17.3696, min=-37.1250, std=13.1208
SlimeVolleyNEAT: 2026-04-16 03:54:56,151 [INFO] Iter=540, size=128, max=-0.2500, avg=-19.2651, min=-34.6250, std=12.8011
SlimeVolleyNEAT: 2026-04-16 03:55:28,522 [INFO] Iter=550, size=128, max=0.1875, avg=-17.6489, min=-35.6250, std=13.6212
SlimeVolleyNEAT: 2026-04-16 03:55:28,805 [INFO] [TEST] Iter=550, #tests=100, max=5.0000, avg=-0.0100, min=-5.0000, std=1.7407
SlimeVolleyNEAT: 2026-04-16 03:56:01,184 [INFO] Iter=560, size=128, max=0.0000, avg=-18.1821, min=-34.9375, std=13.3755
SlimeVolleyNEAT: 2026-04-16 03:56:32,595 [INFO] Iter=570, size=128, max=-0.1875, avg=-20.1646, min=-35.1875, std=11.8775
SlimeVolleyNEAT: 2026-04-16 03:57:04,167 [INFO] Iter=580, size=128, max=0.0000, avg=-19.3140, min=-35.5625, std=13.1046
SlimeVolleyNEAT: 2026-04-16 03:57:35,380 [INFO] Iter=590, size=128, max=-0.0625, avg=-17.2988, min=-35.2500, std=12.8035
SlimeVolleyNEAT: 2026-04-16 03:58:06,854 [INFO] Iter=600, size=128, max=0.0000, avg=-17.7104, min=-36.3125, std=11.3876
SlimeVolleyNEAT: 2026-04-16 03:58:07,122 [INFO] [TEST] Iter=600, #tests=100, max=5.0000, avg=0.2000, min=-4.0000, std=1.5748
SlimeVolleyNEAT: 2026-04-16 03:58:39,329 [INFO] Iter=610, size=128, max=-0.1250, avg=-16.2661, min=-34.5000, std=11.7342
SlimeVolleyNEAT: 2026-04-16 03:59:11,467 [INFO] Iter=620, size=128, max=0.0625, avg=-17.2900, min=-36.0625, std=12.9606
SlimeVolleyNEAT: 2026-04-16 03:59:44,977 [INFO] Iter=630, size=128, max=0.0000, avg=-18.0391, min=-36.5000, std=12.3958
SlimeVolleyNEAT: 2026-04-16 04:00:18,534 [INFO] Iter=640, size=128, max=0.1250, avg=-19.4780, min=-37.0000, std=12.4620
SlimeVolleyNEAT: 2026-04-16 04:00:51,728 [INFO] Iter=650, size=128, max=0.0625, avg=-17.2510, min=-37.1250, std=13.4691
SlimeVolleyNEAT: 2026-04-16 04:00:52,038 [INFO] [TEST] Iter=650, #tests=100, max=3.0000, avg=-0.2900, min=-5.0000, std=1.6929
SlimeVolleyNEAT: 2026-04-16 04:01:24,913 [INFO] Iter=660, size=128, max=0.0000, avg=-15.4702, min=-35.6875, std=13.0518
SlimeVolleyNEAT: 2026-04-16 04:02:02,770 [INFO] Iter=670, size=128, max=0.3750, avg=-17.3169, min=-35.8750, std=13.8388
SlimeVolleyNEAT: 2026-04-16 04:02:35,758 [INFO] Iter=680, size=128, max=-0.1250, avg=-16.9531, min=-36.2500, std=13.2227
SlimeVolleyNEAT: 2026-04-16 04:03:07,301 [INFO] Iter=690, size=128, max=0.0000, avg=-15.1113, min=-35.5000, std=13.4036
SlimeVolleyNEAT: 2026-04-16 04:03:43,819 [INFO] Iter=700, size=128, max=0.0000, avg=-16.3818, min=-34.4375, std=12.8853
SlimeVolleyNEAT: 2026-04-16 04:03:44,115 [INFO] [TEST] Iter=700, #tests=100, max=5.0000, avg=0.2100, min=-4.0000, std=1.7047
SlimeVolleyNEAT: 2026-04-16 04:04:20,573 [INFO] Iter=710, size=128, max=0.2500, avg=-16.3628, min=-37.2500, std=12.9292
