Trainer: 2026-04-16 04:52:16,643 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:52:16,671 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:56:27,012 [INFO] Iter=640, size=128, max=617.8750, avg=591.1050, min=417.1280, std=31.2615
Trainer: 2026-04-16 04:56:29,837 [INFO] Iter=650, size=128, max=232.1165, avg=221.4165, min=154.7974, std=12.3437
Trainer: 2026-04-16 04:56:29,854 [INFO] [TEST] Iter=650, #tests=32, max=970.6139, avg=658.8896, min=0.0959, std=380.7915
Trainer: 2026-04-16 04:56:32,707 [INFO] Iter=660, size=128, max=548.9467, avg=507.2167, min=339.4495, std=40.3539
Trainer: 2026-04-16 04:56:35,564 [INFO] Iter=670, size=128, max=557.4426, avg=536.2473, min=333.8128, std=31.0853
Trainer: 2026-04-16 04:56:38,298 [INFO] Iter=680, size=128, max=561.3505, avg=547.1946, min=436.7313, std=19.2437
Trainer: 2026-04-16 04:56:41,109 [INFO] Iter=690, size=128, max=544.5527, avg=525.6760, min=348.4766, std=20.6432
Trainer: 2026-04-16 04:56:43,847 [INFO] Iter=700, size=128, max=612.4277, avg=592.0218, min=476.4195, std=20.4531
Trainer: 2026-04-16 04:56:43,863 [INFO] [TEST] Iter=700, #tests=32, max=955.9375, avg=493.1049, min=0.0272, std=434.0157
Trainer: 2026-04-16 04:56:46,711 [INFO] Iter=710, size=128, max=505.9128, avg=486.4536, min=371.0611, std=25.5500
Trainer: 2026-04-16 04:56:49,503 [INFO] Iter=720, size=128, max=395.1284, avg=376.1921, min=297.6664, std=18.4310
Trainer: 2026-04-16 04:56:52,565 [INFO] Iter=730, size=128, max=508.4513, avg=492.3968, min=425.9880, std=12.8895
Trainer: 2026-04-16 04:56:55,670 [INFO] Iter=740, size=128, max=624.2833, avg=595.5542, min=426.1318, std=29.1157
Trainer: 2026-04-16 04:57:00,475 [INFO] Iter=750, size=128, max=439.0856, avg=425.2670, min=266.1375, std=24.1029
Trainer: 2026-04-16 04:57:00,492 [INFO] [TEST] Iter=750, #tests=32, max=966.9926, avg=519.0208, min=0.0508, std=430.1409
Trainer: 2026-04-16 04:57:03,549 [INFO] Iter=760, size=128, max=560.9938, avg=534.7780, min=365.0212, std=27.0559
Trainer: 2026-04-16 04:57:06,558 [INFO] Iter=770, size=128, max=499.7787, avg=480.5900, min=396.2722, std=18.1095
Trainer: 2026-04-16 04:57:09,437 [INFO] Iter=780, size=128, max=665.8277, avg=622.0028, min=445.3523, std=45.3609
Trainer: 2026-04-16 04:57:12,454 [INFO] Iter=790, size=128, max=439.1088, avg=397.9199, min=250.6526, std=38.1927
Trainer: 2026-04-16 04:57:15,713 [INFO] Iter=800, size=128, max=509.4471, avg=492.0237, min=353.1503, std=24.3906
Trainer: 2026-04-16 04:57:15,732 [INFO] [TEST] Iter=800, #tests=32, max=946.3978, avg=602.4443, min=0.0001, std=409.3571
Trainer: 2026-04-16 04:57:19,506 [INFO] Iter=810, size=128, max=729.0497, avg=697.7910, min=459.0051, std=36.1909
Trainer: 2026-04-16 04:57:23,710 [INFO] Iter=820, size=128, max=514.8896, avg=504.0168, min=455.0352, std=9.1601
Trainer: 2026-04-16 04:57:29,291 [INFO] Iter=830, size=128, max=676.6047, avg=645.2993, min=443.8293, std=41.4477
Trainer: 2026-04-16 04:57:35,097 [INFO] Iter=840, size=128, max=740.7480, avg=718.7562, min=628.9766, std=20.9612
Trainer: 2026-04-16 04:57:39,672 [INFO] Iter=850, size=128, max=679.8820, avg=657.3904, min=497.7260, std=27.3507
Trainer: 2026-04-16 04:57:39,716 [INFO] [TEST] Iter=850, #tests=32, max=959.0239, avg=668.4764, min=0.0187, std=385.0242
Trainer: 2026-04-16 04:57:43,825 [INFO] Iter=860, size=128, max=631.7167, avg=606.7581, min=318.4205, std=31.5469
Trainer: 2026-04-16 04:57:47,979 [INFO] Iter=870, size=128, max=565.1757, avg=543.1235, min=439.7251, std=19.7583
Trainer: 2026-04-16 04:57:51,868 [INFO] Iter=880, size=128, max=572.5634, avg=557.7727, min=459.4401, std=17.2215
Trainer: 2026-04-16 04:57:55,732 [INFO] Iter=890, size=128, max=612.9923, avg=577.9655, min=406.5872, std=35.6609
Trainer: 2026-04-16 04:57:58,608 [INFO] Iter=900, size=128, max=565.4528, avg=540.5939, min=465.3631, std=19.7268
Trainer: 2026-04-16 04:57:58,628 [INFO] [TEST] Iter=900, #tests=32, max=939.8913, avg=574.0418, min=-0.0008, std=416.3179
