Trainer: 2026-05-04 00:14:34,146 [INFO] use_for_loop=False
Trainer: 2026-05-04 00:14:34,385 [INFO] Start to train for 6000 iterations.
Trainer: 2026-05-04 00:31:02,504 [INFO] Iter=1100, size=128, max=51.9188, avg=27.1495, min=8.8960, std=8.6347
Trainer: 2026-05-04 00:31:02,520 [INFO] [TEST] Iter=1100, #tests=32, max=200.0164, avg=19.9380, min=0.1023, std=37.3759
Trainer: 2026-05-04 00:31:10,674 [INFO] Iter=1110, size=128, max=45.0900, avg=26.9225, min=10.8745, std=6.7892
Trainer: 2026-05-04 00:31:18,879 [INFO] Iter=1120, size=128, max=55.4305, avg=29.3983, min=8.8724, std=10.5889
Trainer: 2026-05-04 00:31:26,816 [INFO] Iter=1130, size=128, max=51.7960, avg=20.2424, min=9.1950, std=6.7385
Trainer: 2026-05-04 00:31:34,754 [INFO] Iter=1140, size=128, max=28.5452, avg=17.8276, min=8.9956, std=4.3920
Trainer: 2026-05-04 00:31:42,901 [INFO] Iter=1150, size=128, max=41.4502, avg=23.1416, min=10.0821, std=7.8388
Trainer: 2026-05-04 00:31:42,916 [INFO] [TEST] Iter=1150, #tests=32, max=358.6841, avg=48.5887, min=-0.0001, std=93.0872
Trainer: 2026-05-04 00:31:52,096 [INFO] Iter=1160, size=128, max=72.6240, avg=34.6100, min=12.9291, std=15.1676
Trainer: 2026-05-04 00:32:01,936 [INFO] Iter=1170, size=128, max=33.2433, avg=13.8458, min=7.8047, std=3.6521
Trainer: 2026-05-04 00:32:10,605 [INFO] Iter=1180, size=128, max=49.3831, avg=29.5225, min=10.0866, std=7.2173
Trainer: 2026-05-04 00:32:21,699 [INFO] Iter=1190, size=128, max=48.3718, avg=23.0957, min=9.1864, std=6.8856
Trainer: 2026-05-04 00:32:33,442 [INFO] Iter=1200, size=128, max=47.2398, avg=21.7254, min=10.6541, std=6.3523
Trainer: 2026-05-04 00:32:33,466 [INFO] [TEST] Iter=1200, #tests=32, max=346.6865, avg=47.9406, min=-0.0020, std=84.4513
Trainer: 2026-05-04 00:32:41,869 [INFO] Iter=1210, size=128, max=68.2644, avg=32.4464, min=14.5176, std=8.8516
Trainer: 2026-05-04 00:32:49,828 [INFO] Iter=1220, size=128, max=29.0446, avg=19.0341, min=10.7447, std=3.8789
Trainer: 2026-05-04 00:32:58,334 [INFO] Iter=1230, size=128, max=53.0697, avg=32.5214, min=11.8535, std=8.8359
Trainer: 2026-05-04 00:33:10,759 [INFO] Iter=1240, size=128, max=40.5313, avg=18.9088, min=10.1830, std=5.0043
Trainer: 2026-05-04 00:33:21,831 [INFO] Iter=1250, size=128, max=51.4138, avg=23.7759, min=11.5001, std=8.7891
