Trainer: 2026-04-16 12:26:25,617 [INFO] use_for_loop=False
Trainer: 2026-04-16 12:26:25,957 [INFO] Start to train for 3000 iterations.
Trainer: 2026-04-16 12:33:55,864 [INFO] [TEST] Iter=1200, #tests=32, max=539.1564, avg=165.2849, min=-0.0009, std=199.7392
Trainer: 2026-04-16 12:33:59,622 [INFO] Iter=1210, size=128, max=242.8314, avg=190.2300, min=6.3709, std=46.3325
Trainer: 2026-04-16 12:34:03,399 [INFO] Iter=1220, size=128, max=133.2780, avg=100.6105, min=9.8563, std=24.7413
Trainer: 2026-04-16 12:34:06,968 [INFO] Iter=1230, size=128, max=207.1436, avg=170.3225, min=8.4872, std=50.6355
Trainer: 2026-04-16 12:34:10,654 [INFO] Iter=1240, size=128, max=109.6320, avg=91.3983, min=9.7028, std=21.6180
Trainer: 2026-04-16 12:34:14,686 [INFO] Iter=1250, size=128, max=133.9715, avg=115.1942, min=7.8321, std=26.9089
Trainer: 2026-04-16 12:34:14,706 [INFO] [TEST] Iter=1250, #tests=32, max=501.5305, avg=143.6636, min=0.0394, std=198.1584
Trainer: 2026-04-16 12:34:18,469 [INFO] Iter=1260, size=128, max=163.3644, avg=133.9941, min=12.5545, std=31.4017
Trainer: 2026-04-16 12:34:22,363 [INFO] Iter=1270, size=128, max=179.2950, avg=136.3642, min=5.2909, std=44.1625
Trainer: 2026-04-16 12:34:26,195 [INFO] Iter=1280, size=128, max=171.6797, avg=144.6814, min=10.0715, std=42.8527
Trainer: 2026-04-16 12:34:30,167 [INFO] Iter=1290, size=128, max=197.8453, avg=164.4343, min=5.9353, std=39.5162
Trainer: 2026-04-16 12:34:33,881 [INFO] Iter=1300, size=128, max=205.3729, avg=167.6702, min=9.2789, std=42.7975
Trainer: 2026-04-16 12:34:33,898 [INFO] [TEST] Iter=1300, #tests=32, max=523.1003, avg=71.9347, min=-0.0003, std=144.2870
Trainer: 2026-04-16 12:34:37,569 [INFO] Iter=1310, size=128, max=178.2337, avg=134.6775, min=6.1833, std=40.6277
Trainer: 2026-04-16 12:34:41,441 [INFO] Iter=1320, size=128, max=172.5112, avg=143.1129, min=8.5013, std=37.3597
Trainer: 2026-04-16 12:34:45,206 [INFO] Iter=1330, size=128, max=150.3806, avg=128.2404, min=11.2411, std=28.7452
Trainer: 2026-04-16 12:34:49,141 [INFO] Iter=1340, size=128, max=207.8831, avg=168.4681, min=9.5973, std=39.6288
Trainer: 2026-04-16 12:34:52,980 [INFO] Iter=1350, size=128, max=108.6964, avg=76.0506, min=5.1122, std=22.2560
Trainer: 2026-04-16 12:34:53,001 [INFO] [TEST] Iter=1350, #tests=32, max=527.7070, avg=179.8272, min=-0.0134, std=196.4651
Trainer: 2026-04-16 12:34:56,780 [INFO] Iter=1360, size=128, max=133.4055, avg=110.4469, min=5.5059, std=32.3298
Trainer: 2026-04-16 12:35:00,771 [INFO] Iter=1370, size=128, max=149.4434, avg=119.8234, min=5.8460, std=26.8670
Trainer: 2026-04-16 12:35:04,501 [INFO] Iter=1380, size=128, max=174.9840, avg=145.0434, min=6.6707, std=42.4719
Trainer: 2026-04-16 12:35:08,340 [INFO] Iter=1390, size=128, max=258.5200, avg=216.8351, min=7.4824, std=55.3823
Trainer: 2026-04-16 12:35:12,279 [INFO] Iter=1400, size=128, max=207.2260, avg=169.3490, min=6.3545, std=52.2942
Trainer: 2026-04-16 12:35:12,303 [INFO] [TEST] Iter=1400, #tests=32, max=486.1059, avg=225.0966, min=0.3346, std=196.7957
Trainer: 2026-04-16 12:35:16,255 [INFO] Iter=1410, size=128, max=140.4929, avg=121.6097, min=10.4558, std=24.1020
Trainer: 2026-04-16 12:35:20,210 [INFO] Iter=1420, size=128, max=168.2728, avg=147.6358, min=5.4430, std=33.7018
Trainer: 2026-04-16 12:35:24,138 [INFO] Iter=1430, size=128, max=242.9394, avg=198.9004, min=8.9171, std=55.9103
Trainer: 2026-04-16 12:35:27,938 [INFO] Iter=1440, size=128, max=180.2452, avg=138.9152, min=10.6617, std=46.9558
Trainer: 2026-04-16 12:35:32,284 [INFO] Iter=1450, size=128, max=212.4603, avg=182.8121, min=10.1692, std=37.9937
Trainer: 2026-04-16 12:35:32,298 [INFO] [TEST] Iter=1450, #tests=32, max=512.9031, avg=74.9360, min=0.0133, std=148.7053
Trainer: 2026-04-16 12:35:36,189 [INFO] Iter=1460, size=128, max=98.6666, avg=88.7249, min=10.6190, std=16.5119
Trainer: 2026-04-16 12:35:40,363 [INFO] Iter=1470, size=128, max=146.7028, avg=112.1538, min=7.3060, std=30.8368
Trainer: 2026-04-16 12:35:44,286 [INFO] Iter=1480, size=128, max=148.2473, avg=104.8738, min=12.8000, std=32.4243
Trainer: 2026-04-16 12:35:48,253 [INFO] Iter=1490, size=128, max=150.2200, avg=133.4587, min=9.0336, std=23.1633
Trainer: 2026-04-16 12:35:52,368 [INFO] Iter=1500, size=128, max=197.2200, avg=176.2482, min=7.2373, std=40.4546
Trainer: 2026-04-16 12:35:52,387 [INFO] [TEST] Iter=1500, #tests=32, max=481.4456, avg=131.8570, min=-0.0004, std=190.9585
Trainer: 2026-04-16 12:35:56,128 [INFO] Iter=1510, size=128, max=183.0698, avg=150.9674, min=7.1564, std=27.0817
Trainer: 2026-04-16 12:36:00,066 [INFO] Iter=1520, size=128, max=202.3891, avg=173.0553, min=11.5520, std=41.7872
Trainer: 2026-04-16 12:36:03,924 [INFO] Iter=1530, size=128, max=137.7529, avg=118.2966, min=9.3189, std=23.5794
Trainer: 2026-04-16 12:36:07,835 [INFO] Iter=1540, size=128, max=169.1193, avg=136.1815, min=9.9553, std=35.8374
Trainer: 2026-04-16 12:36:11,958 [INFO] Iter=1550, size=128, max=99.6201, avg=71.6472, min=7.4076, std=20.1836
Trainer: 2026-04-16 12:36:11,980 [INFO] [TEST] Iter=1550, #tests=32, max=504.1533, avg=165.2756, min=0.2043, std=195.6452
Trainer: 2026-04-16 12:36:15,987 [INFO] Iter=1560, size=128, max=88.5472, avg=51.0364, min=3.3327, std=15.7960
Trainer: 2026-04-16 12:36:19,951 [INFO] Iter=1570, size=128, max=216.2730, avg=176.0641, min=9.7690, std=43.6513
Trainer: 2026-04-16 12:36:24,002 [INFO] Iter=1580, size=128, max=175.6205, avg=148.3757, min=5.7333, std=39.9856
Trainer: 2026-04-16 12:36:27,966 [INFO] Iter=1590, size=128, max=246.7808, avg=197.0129, min=8.2817, std=55.1174
Trainer: 2026-04-16 12:36:31,915 [INFO] Iter=1600, size=128, max=190.9058, avg=151.6505, min=8.4122, std=35.0359
Trainer: 2026-04-16 12:36:31,930 [INFO] [TEST] Iter=1600, #tests=32, max=506.6233, avg=178.0602, min=0.0274, std=193.9537
Trainer: 2026-04-16 12:36:35,979 [INFO] Iter=1610, size=128, max=159.6154, avg=124.6735, min=8.7441, std=27.0948
Trainer: 2026-04-16 12:36:40,102 [INFO] Iter=1620, size=128, max=114.0973, avg=67.6897, min=10.1569, std=22.7400
Trainer: 2026-04-16 12:36:44,142 [INFO] Iter=1630, size=128, max=167.5498, avg=130.9821, min=6.3947, std=31.8561
Trainer: 2026-04-16 12:36:48,309 [INFO] Iter=1640, size=128, max=136.0531, avg=106.4829, min=3.0673, std=33.0346
Trainer: 2026-04-16 12:36:52,288 [INFO] Iter=1650, size=128, max=174.9903, avg=138.9887, min=12.3932, std=28.1488
Trainer: 2026-04-16 12:36:52,305 [INFO] [TEST] Iter=1650, #tests=32, max=470.3494, avg=123.8942, min=0.0051, std=176.3514
Trainer: 2026-04-16 12:36:56,113 [INFO] Iter=1660, size=128, max=232.5891, avg=194.3276, min=8.8043, std=45.4728
Trainer: 2026-04-16 12:37:00,131 [INFO] Iter=1670, size=128, max=175.0853, avg=139.1601, min=7.9879, std=32.9232
Trainer: 2026-04-16 12:37:03,924 [INFO] Iter=1680, size=128, max=208.3754, avg=186.3416, min=6.4795, std=33.5983
Trainer: 2026-04-16 12:37:07,897 [INFO] Iter=1690, size=128, max=84.6991, avg=65.8154, min=9.2246, std=18.0943
Trainer: 2026-04-16 12:37:11,905 [INFO] Iter=1700, size=128, max=206.1308, avg=161.2660, min=6.8283, std=55.0075
Trainer: 2026-04-16 12:37:11,919 [INFO] [TEST] Iter=1700, #tests=32, max=569.5834, avg=185.6502, min=-0.0001, std=203.8457
Trainer: 2026-04-16 12:37:15,739 [INFO] Iter=1710, size=128, max=172.3693, avg=146.0383, min=9.0698, std=31.7452
Trainer: 2026-04-16 12:37:19,938 [INFO] Iter=1720, size=128, max=146.2686, avg=115.3025, min=10.8313, std=34.7427
