Trainer: 2026-04-16 04:05:44,354 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:05:44,373 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:30:15,229 [INFO] Iter=790, size=128, max=0.6250, avg=-0.6055, min=-3.6250, std=0.9195
Trainer: 2026-04-16 04:30:31,479 [INFO] Iter=800, size=128, max=0.7500, avg=-0.6025, min=-3.7500, std=0.8748
Trainer: 2026-04-16 04:30:31,612 [INFO] [TEST] Iter=800, #tests=50, max=3.0000, avg=0.1000, min=-2.0000, std=0.8775
Trainer: 2026-04-16 04:30:47,960 [INFO] Iter=810, size=128, max=0.6250, avg=-0.7012, min=-5.3750, std=0.9913
Trainer: 2026-04-16 04:31:04,411 [INFO] Iter=820, size=128, max=0.7500, avg=-0.5898, min=-5.7500, std=0.9988
Trainer: 2026-04-16 04:31:20,832 [INFO] Iter=830, size=128, max=0.7500, avg=-0.5693, min=-8.3750, std=1.0096
Trainer: 2026-04-16 04:31:37,148 [INFO] Iter=840, size=128, max=0.7500, avg=-0.4746, min=-7.5000, std=0.9717
Trainer: 2026-04-16 04:31:53,504 [INFO] Iter=850, size=128, max=1.0000, avg=-0.2139, min=-6.1250, std=0.9992
Trainer: 2026-04-16 04:31:53,633 [INFO] [TEST] Iter=850, #tests=50, max=3.0000, avg=0.2600, min=-1.0000, std=0.7158
Trainer: 2026-04-16 04:32:10,017 [INFO] Iter=860, size=128, max=0.6250, avg=-0.4395, min=-3.3750, std=0.7153
Trainer: 2026-04-16 04:32:26,650 [INFO] Iter=870, size=128, max=0.5000, avg=-0.5879, min=-7.2500, std=1.0009
Trainer: 2026-04-16 04:32:42,940 [INFO] Iter=880, size=128, max=0.6250, avg=-0.6299, min=-6.8750, std=1.0160
Trainer: 2026-04-16 04:32:59,274 [INFO] Iter=890, size=128, max=0.8750, avg=-0.5254, min=-5.5000, std=1.0295
Trainer: 2026-04-16 04:33:15,750 [INFO] Iter=900, size=128, max=1.0000, avg=-0.3213, min=-3.2500, std=0.6457
Trainer: 2026-04-16 04:33:15,876 [INFO] [TEST] Iter=900, #tests=50, max=1.0000, avg=0.2000, min=-1.0000, std=0.5657
Trainer: 2026-04-16 04:33:32,270 [INFO] Iter=910, size=128, max=0.7500, avg=-0.4111, min=-4.2500, std=0.8098
Trainer: 2026-04-16 04:33:48,610 [INFO] Iter=920, size=128, max=0.3750, avg=-0.3457, min=-2.1250, std=0.5474
Trainer: 2026-04-16 04:34:05,093 [INFO] Iter=930, size=128, max=0.7500, avg=-0.2695, min=-2.2500, std=0.5488
Trainer: 2026-04-16 04:34:21,448 [INFO] Iter=940, size=128, max=1.0000, avg=-0.3076, min=-5.6250, std=0.9725
Trainer: 2026-04-16 04:34:37,782 [INFO] Iter=950, size=128, max=0.8750, avg=-0.2920, min=-4.5000, std=0.8233
Trainer: 2026-04-16 04:34:37,905 [INFO] [TEST] Iter=950, #tests=50, max=2.0000, avg=-0.2200, min=-3.0000, std=0.8553
Trainer: 2026-04-16 04:34:54,530 [INFO] Iter=960, size=128, max=0.7500, avg=-0.5273, min=-5.1250, std=0.9101
Trainer: 2026-04-16 04:35:10,868 [INFO] Iter=970, size=128, max=0.7500, avg=-0.4424, min=-3.0000, std=0.7008
Trainer: 2026-04-16 04:35:27,125 [INFO] Iter=980, size=128, max=0.6250, avg=-0.3135, min=-8.5000, std=1.2071
Trainer: 2026-04-16 04:35:43,420 [INFO] Iter=990, size=128, max=0.8750, avg=-0.2754, min=-4.5000, std=0.7822
Trainer: 2026-04-16 04:35:58,358 [INFO] [TEST] Iter=1000, #tests=50, max=2.0000, avg=-0.0600, min=-1.0000, std=0.7324
Trainer: 2026-04-16 04:35:58,359 [INFO] Training done, best_score=0.2600
